Ngày,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
2026-02-05,0,0,,
2026-02-06,1,10,10%,8
2026-02-07,0,18,0%,5.9
2026-02-08,0,22,0%,5.7
2026-02-09,1,21,4.76%,4.9
2026-02-10,0,19,0%,6.5
2026-02-11,1,32,3.12%,7.8
2026-02-12,0,19,0%,6.8
2026-02-13,0,18,0%,4.6
2026-02-14,0,34,0%,6.2
2026-02-15,0,28,0%,5.7
2026-02-16,0,15,0%,5.5
2026-02-17,0,9,0%,8.9
2026-02-18,0,8,0%,7.8
2026-02-19,0,12,0%,4.2
2026-02-20,0,11,0%,5.5
2026-02-21,0,10,0%,5.1
2026-02-22,0,12,0%,6.3
2026-02-23,0,25,0%,6.4
2026-02-24,0,26,0%,6
2026-02-25,0,24,0%,6.2
2026-02-26,0,28,0%,6.2
